id,show_id,type,title,director,cast,country,date_added,release_year,rating,listed_in,description,duration_int,duration_type
ts36,s36,tv show,the real housewives of orange county,,,united states,2021-10-14,2006,tv-14,reality,"the o.c. ladies are back as the series goes behind the gates for a voyeuristic look at the scandalous truths, mending friendships, rocky marriages, sizzling romances, and ever-changing loyalties inside the wealthy southern california suburb.",15,seasons
ts37,s37,tv show,why not us,,,,2021-10-14,2021,g,"documentaries, sports","all-access to the north carolina central university men's basketball program, which looks to become the first hbcu to reach the sweet 16.",2,seasons
ts38,s38,movie,bellator mma: kongo vs. johnson 2,,,,2021-10-13,2020,g,sports,cheick kongo vs. tim johnson battle in a historic classic from october 2020,,
ts39,s39,movie,chips,,,,2021-10-13,2017,r,"action, adventure, comedy",ponch and jon are together again in this hilarious update of the popular tv series that follows a mismatched pair of motorcycle cops.,101,min
ts40,s40,tv show,dopesick,,,,2021-10-13,2021,tv-ma,drama,"from executive producer danny strong and starring and executive produced by michael keaton, “dopesick” examines how one company triggered the worst drug epidemic in american history. the series takes viewers to the epicenter of america’s struggle with opioid addiction, from the boardrooms of big pharma, to a distressed virginia mining community, to the hallways of the dea. defying all the odds, heroes will emerge in an intense and thrilling ride to take down the craven corporate forces behind this national crisis and their allies. the limited series is inspired by the new york times bestselling book by beth macy.",1,season
ts41,s41,movie,in the crease,,,,2021-10-13,2020,g,sports,post-game analysis and highlight show airing each night throughout the nhl season from barry melrose and linda cohn.,,
ts42,s42,tv show,"champaign, ill",,,,2021-10-12,2018,g,comedy,"after the death of their best friend, a wildly famous rap icon, alf and ronnie lose their lavish lifestyle and are forced to return home to champaign, illinois. in order to get back what the",1,season
ts43,s43,movie,the loneliest whale: the search for 52,,,,2021-10-12,2021,pg,documentaries,"a cinematic quest to find the “52 hertz whale.” as the film embarks on its engrossing journey, we uncover what this whale’s lonely plight teaches us not only about our relationship to the ocean, but to each other.",97,min
ts44,s44,movie,gunda,,,,2021-10-11,2020,g,documentaries,"experiential cinema in its purest form, gunda is a transcendent and masterfully intimate chronicle of a mother pig, a flock of chickens, and a herd of cows.",93,min
ts45,s45,tv show,buried,,,,2021-10-10,2021,tv-ma,"crime, documentaries","in january 1989, in a flash eileen franklin recalled being eight years old and witnessing the rape and murder of her best friend, susan nason. she also remembered the identity of the murderer ? it was eileen?s own father, george franklin. the ensuing trial was the first criminal case based on a repressed memory, and it raised questions and issues that continue to challenge the reliability of memory and of criminal testimony to this day. eileen franklin?s memories were terrifying beyond imagining... but were they true beyond a reasonable doubt?",1,season
ts46,s46,tv show,demon slayer kimetsu no yaiba,,,japan,2021-10-10,2019,tv-14,"action, adventure, anime","it is the taisho period in japan. tanjiro, a kindhearted boy who sells charcoal for a living, finds his family slaughtered by a demon. to make matters worse, his younger sister nezuko, the sole survivor, has been transformed into a demon herself. though devastated by this grim reality, tanjiro resolves to become a ""demon slayer"" so that he can turn his sister back into a human, and kill the demon that massacred his family. a sorrowful tale of siblings in which the fates of humans and demons intertwine... begins now!",2,seasons
ts47,s47,movie,g.i. joe: retaliation,,,,2021-10-10,2013,pg-13,"action, adventure",the greatest american heroes are back to face cobra in a new adventure.,105,min
ts48,s48,movie,rogue hostage,,,,2021-10-10,2021,g,"action, thriller",child protective services officer and former marine kyle snowden must save an immigrant child from a dangerous criminal who has trapped them and other hostages inside a neighborhood store owned by kyle’s controversial stepfather congressman sam nelson.,94,min
ts49,s49,tv show,roots less traveled,,,,2021-10-10,2020,tv-g,reality,"pairs of family members, often from different generations, set out on adventures to solve mysteries from their family trees and grow closer as they gain wisdom not only about themselves, but also about how their past has helped shape their present.",1,season
ts50,s50,tv show,shark tank,,,united states,2021-10-09,2009,tv-pg,reality,"from executive producer mark burnett comes an inventive new reality series you can sink your teeth into. budding entrepreneurs with big ideas can still make their dreams come true and abc is about to give them the chance to make it happen. each week a group of self-made millionaires from all corners of the business world take their own hard earned money and offer everyday people their one true shot at making their dreams a reality. some will sink, some will swim and some will be eaten alive.",12,seasons
ts51,s51,movie,yashahime: princess half-demon,,,japan,2021-10-09,2020,2 seasons,anime,"long-lost twins towa and setsuna reunite after ten years to discover that they are the half-demon daughters of the great demon sesshomaru. joined by moroha, the daughter of inuyasha, the three set out on a journey to regain their missing past.",,
ts52,s52,tv show,general hospital,,,united states,2021-10-08,1963,tv-14,drama,"the wealthy quartermaine family continues to be a looming presence in the town of port charles, with interests in much of the city's business. characters come and go, but viewers can always count on at least one quartermaine or spencer to create havoc.",1,season
ts53,s53,movie,jacinta,,,,2021-10-08,2021,tv-ma,documentaries,"an intimate portrait of mothers and daughters and the effects of trauma, jacinta follows a young woman in and out of prison as she attempts to break free from an inherited cycle of addiction, incarceration, and crime.",105,min
ts54,s54,tv show,abc news live prime with linsey davis,,,,2021-10-07,2021,g,news,your primetime news source for context and analysis of the day’s top stories. in-depth reporting and storytelling from across the country and around the world – hosted by linsey davis.,1,season
ts55,s55,tv show,baker's dozen,,,,2021-10-07,2021,g,"cooking & food, lifestyle & culture, reality","passionate amateur bakers will go head-to-head with seasoned professionals in each episode of “baker’s dozen”. join hosts tamera mowry-housley (emmy-award winning host of ""the real,"" fox’s “the masked singer” and hallmark’s “christmas comes twice”) and bill yosses (author and former white house pastry chef) for this fast-paced competition series that will determine the best baker of all! which of the 13 bakers has what it takes to create the next viral baking sensation, win the golden rolling pin and take home the cash prize?",1,season
ts56,s56,movie,fifa world cup 2022 qualifying,,,,2021-10-07,2019,g,sports,match coverage from the qualifiers for the fifa 2022 world cup.,,
ts57,s57,movie,bellator mma 257: nemkov vs. davis 2 (r),,,,2021-10-06,2021,g,sports,"bellator champ vadim nemkov, phil davis, corey anderson in action. replay",,
ts58,s58,movie,bellator mma: davis vs. nemkov,,,,2021-10-06,2018,g,sports,former bellator mma champion phil davis faces russia's vadim nemkov.,,
ts59,s59,tv show,castle,,,,2021-10-06,2009,tv-14,"comedy, crime, drama","rick castle, a famous crime novelist and rockstar of the literary world who finds inspiration for a new character from an unlikely source - the smart, beautiful, no-nonsense det. kate beckett - whether she likes it or not. his fame gives him an all-access pass to her cases and he's working her last nerve. but somehow, together, they're the perfect partners in crime.",8,seasons
ts60,s60,movie,the hills presents: speidi's wedding unveiled,,,,2021-10-05,2009,tv-pg,"reality, teen","the new mr. and mrs. pratt present candid interviews with the cast of hills, exclusive footage you never saw on the show, a glimpse at the media frenzy surrounding the wedding of the year, and an interview with kristin cavallari",,
ts61,s61,tv show,america's funniest home videos,,,united states,2021-10-04,1981,tv-pg,"comedy, family","from practical jokes to home improvement plans gone awry, to animal mishaps and just flat out strange behavior, this hilarious show on abc pulls out all the stops to present everyday people caught on tape in their most embarrassing moments!",2,seasons
ts62,s62,movie,maggie's plan,,,,2021-10-04,2015,r,"comedy, drama, romance","a young woman (gerwig) set on having a child, catapults herself into a love triangle with an academic (hawke) & his eccentric wife (moore).",99,min
ts63,s63,tv show,the bradshaw bunch,,,,2021-10-04,2020,tv-pg,reality,"legendary quarterback and television-broadcast icon terry bradshaw gives us an intimate look at life in the off-season. as husband, father and “papi” to the bradshaw bunch, we see a side of terry bradshaw you’ve never seen before",1,season
ts64,s64,movie,the program,,,,2021-10-04,1993,r,"action, adventure, drama",an action-packed story about a group of top 10 college football athletes.,112,min
ts65,s65,movie,unfaithful,,,,2021-10-04,2002,r,"drama, romance, thriller",diane lane earned a 2002 best actress oscar(r) nomination for her role as a housewife who gets blown into a whirlwind affair.,124,min
ts66,s66,movie,finding your feet,,,united kingdom,2021-10-03,2017,pg-13,"comedy, drama, romance","on the eve of retirement, a middle-class snob discovers her husband has been having an affair, and is forced to live with her bohemian sister on an impoverished inner-city estate.",112,min
ts67,s67,movie,pacific airshow,,,,2021-10-03,2021,g,documentaries,"pacific airshow is not just an airshow. it’s a global spectacle-scale event that celebrates the love, patriotism and awe-inspiring feats of aviation with the enticing thrill of sports, entertainment, art and technology - backed by southern california’s most iconic beachfront destination. this year’s pacific airshow will be headlined by the u.s. navy blue angels celebrating their 75th anniversary tour and flying their new f/a-18 super hornets. the blue angels will be joined by the canadian forces snowbirds celebrating their 50th anniversary season, the u.s. air force f-35a lightning ii demo team led by major kristin “beo” wolfe, u.s. navy growler legacy flight demonstration team featuring two ea-18gs, a variant of the f/a-18 f super hornet, the u.s. marine corps mv-22 osprey demo team, the u.s. army golden knights parachute demonstration team, world-class civilian aerobatic performers and many more.",,
ts68,s68,tv show,saturday night live,,,united states,2021-10-03,1975,tv-14,"comedy, late night, sketch comedy",nbc in association with broadway video enterprises bring you the landmark sketch comedy series.,23,seasons
ts69,s69,movie,college swimming & diving,,,,2021-10-02,2005,g,sports,action from college swimming & diving events.,,
ts70,s70,movie,men's college hockey,,,,2021-10-02,2000,g,sports,action from ncaa men's college hockey.,,
ts71,s71,tv show,the most magical story on earth: 50 years of walt disney world,,,,2021-10-02,2021,tv-pg,news,"whoopi goldberg hosts a historical journey spanning half a century and beyond at walt disney world, featuring spectacular visuals, musical performances from christina aguilera and halle bailey, and interviews with iconic actors and athletes.",1,season
ts72,s72,movie,a.i.: artificial intelligence,,,,2021-10-01,2001,pg-13,"adventure, drama, science fiction","in a future world of scientific advances, humans share their lives with sophisticated companion robots. but when an advanced prototype robot child is programmed to show unconditional love, his human family isn't prepared for it.",145,min
ts73,s73,movie,air force one,,,,2021-10-01,1997,r,"action, adventure, horror",harrison ford and gary oldman star in wolfgang petersen's thriller about the hijacking of air force one with the first family on board.,125,min
ts74,s74,movie,ali,,,,2021-10-01,2001,r,"black stories, drama, history","a pivotal decade in the life of heavyweight boxing legend muhammad ali - his rise to the top of the sport, his refusal to go to vietnam, and his comeback fights with foreman and frazier.",157,min
ts75,s75,tv show,asylum,,,,2021-10-01,2021,g,documentaries,"asylum is an intimate look at the dreams, prayers, and realities of two fathers seeking refuge in the u.s. – revealing that, after the harrowing roads that brought them to the country of their dreams, asylum is often elusive.",1,season
ts76,s76,tv show,big sky,,,united states,2021-10-01,2020,tv-14,"crime, drama","storyteller david e. kelly (""big little lies"") presents a series about private detectives cassie dewell and cody hoyt, who join forces with cody's estranged wife and ex-cop, jenny hoyt, to search for two sisters who have been kidnapped by a truck driver on a remote highway in montana. when they discover that these are not the only girls who have disappeared in the area, they must race against the clock to stop the killer before another woman is taken. based on the series of books by c.j. box, the series stars katheryn winnick, kylie bunbury and ryan phillippe.",2,seasons
ts77,s77,tv show,bite size halloween,,,,2021-10-01,2020,g,horror,a series of stand-alone horror shorts ranging from the terrifying to the ridiculous.,2,seasons
ts78,s78,movie,blippi's spooky spell halloween,,,,2021-10-01,2021,tv-y,kids,"get ready for a spooky halloween with blippi! learn all about fun halloween decorations, visit a candy store for the best sweet and spooky treats, learn how to make a jack-o-lantern, and so much more.",41,min
ts79,s79,movie,boxcar bertha,,,,2021-10-01,1972,r,"crime, drama","set in the depression era of the 1930s, a young woman and three men rob trains and plan a kidnapping. the men are caught and the young woman becomes a prostitute. based on ""sister of the road"" by boxcar bertha thomson.",89,min
ts80,s80,tv show,cake,,,united states,2021-10-01,2019,tv-ma,comedy,"""cake"" is a handcrafted assortment of bite-sized content served up to viewers as a tasty treat for the mind. featuring a diverse array of narratives from storytellers both new and established with eclectic points of view, the carefully curated half-hour showcase features both live-action and animated comedy programs of varied length that are equal parts thought-provoking, laugh-inducing, artistic, authentic and raw (not to mention, totally gif-able). there's something for everyone and plenty to go around.",5,seasons
ts81,s81,movie,cedar rapids,,,,2021-10-01,2011,r,comedy,"a weekend insurance convention proves to be a hotbed of sex, booze and buffoonery for a naive young man in this comedy.",87,min
ts82,s82,movie,chasing papi,,,,2021-10-01,2003,pg,"comedy, drama, romance",a latino casanova courts three hispanic women in three different cities...until they find out about one another in this comedy.,80,min
ts83,s83,movie,class,,,,2021-10-01,1983,r,"comedy, drama","complications arise when a lucky, lustful prep school teen gets a chance to lose his innocence to an older woman.",99,min
ts84,s84,movie,clifford,,,,2021-10-01,1994,pg,"comedy, family, kids",martin short is hilarious as a bratty 10-year-old kid who wreaks havoc while visiting his hapless uncle charles grodin in this comedy.,90,min
ts85,s85,movie,clockstoppers,,,,2021-10-01,2002,pg,"action, adventure, comedy",high-school teen jesse bradford tries out his scientist dad's new invention: a watch that can freeze time.,94,min
ts86,s86,movie,code 46,,,,2021-10-01,2004,r,"drama, romance, science fiction",tim robbins is an investigator in a dystopian future whose attraction to a mysterious woman lands him on the wrong side of the law.,93,min
ts87,s87,movie,crimson tide,,,,2021-10-01,1995,r,"drama, horror, thriller",gene hackman and denzel washington star as a submarine commander and his top lieutenant who wind up in a standoff during a nuclear crisis.,116,min
ts88,s88,movie,date night extended version,,,,2021-10-01,2010,pg-13,"action, adventure, comedy",steve carell and tina fey are a couple whose wild night out injects some much-needed spark – and some serious danger – into their marriage.,102,min
ts89,s89,movie,dead of winter,,,,2021-10-01,1987,r,"horror, thriller",an out-of-work actress is lured to an isolated house for an audition that takes a horrifying twist in this horror thriller.,101,min
ts90,s90,movie,diary of a wimpy kid: rodrick rules,,,,2021-10-01,2011,pg,"comedy, family, kids",young underdog greg heffley is back for torment at the hands of his brother rodrick and more in this second hilarious flick in the series.,100,min
ts91,s91,movie,"double, double, toil and trouble",,,,2021-10-01,1993,g,"adventure, family, kids","determined twins (mary-kate olsen, ashley olsen) try to trick an evil aunt (cloris leachman) out of a magic moonstone and save their family home.",97,min
ts92,s92,movie,dr. no,,,united kingdom,2021-10-01,1962,pg,"action, adventure","on a mission in jamaica, ultra-suave agent 007 finds mad scientist dr. no concocting a plot to derail the u.s. space program and take over the world.",110,min
ts93,s93,movie,edge of the world,,,,2021-10-01,2021,g,"adventure, drama, history","the true story of british adventurer sir james brooke, who fought pirates, slavers and headhunters to rule a jungle kingdom larger than england in 1840's borneo.",104,min
ts94,s94,movie,escape from alcatraz,,,united states,2021-10-01,1979,pg,"action, crime, drama",based on true events! a hardened convict engineers an elaborate plan to escape infamous alcatraz prison - a feat nobody had successfully accomplished before. directed by don siegel (dirty harry).,112,min
ts95,s95,movie,exorcist: the beginning,,,,2021-10-01,2004,r,horror,prequel. exorcist: the beginning traces the story of father merrin back to his first encounter with the devil during his missionary work in africa.,113,min
ts96,s96,movie,flatliners,,,,2021-10-01,1990,r,"drama, horror, science fiction","julia roberts, kiefer sutherland and kevin bacon star in this ""edge of your seat"" thriller as medical students who push themselves to the boundaries of life itself and touch the face of death. this offbeat drama is directed by joel schumacher.",114,min
ts97,s97,movie,from russia with love,,,united kingdom,2021-10-01,1964,pg,"action, adventure, classics",bond is back and he's paying the price for his previous adventure when spectre lured him into a deadly trap to avenge the death of dr. no. will bond's mission to find a russian coding machine be his last?,115,min
ts98,s98,movie,goldeneye,,,"united kingdom, united states",2021-10-01,1995,pg-13,"action, adventure, thriller","bond is thrown right into the action before the title song with an eye-opening cliff dive onto a plane. sporting his signature debonair attitude and pricey gadgets, bond investigates the destruction of a russian satellite base.",130,min
ts99,s99,movie,goldfinger,,,united kingdom,2021-10-01,1965,pg,"action, adventure, classics","007 is pitted against auric goldfinger, who plots to render the gold supply at fort knox worthless with radioactivity, thereby increasing tenfold the value of his own gold supply to make him the richest, most powerful man on earth.",110,min
ts100,s100,movie,happy feet,,,,2021-10-01,2006,tv-pg,"action, adventure, comedy",an emperor penguin expresses himself through tap-dancing.,101,min
ts101,s101,movie,happy feet two,,,,2021-10-01,2011,pg,"adventure, comedy, family",tap-dancing penguin mumble is now a daddy...and he's got an equally unique (and talented) son to help in this fun-filled family sequel.,100,min
ts102,s102,movie,house of games,,,,2021-10-01,1987,r,thriller,"an uptight female psychiatrist (and best-selling author) attempts to intercede with a con man on behalf of one of her patients, a compulsive gambler who owes him several thousand dollars.",102,min
ts103,s103,movie,intersection,,,,2021-10-01,1994,r,"drama, romance","in the wake of a terrible car wreck, award-winning architect vincent eastman sees his life in flashbacks, recalling his separation from his beautiful but aloof wife and his affair with a joyful and passionate journalist.",99,min
ts104,s104,movie,license to kill,,,"united kingdom, mexico, united states",2021-10-01,1989,pg-13,"action, adventure","this 16th james bond outing finds agent 007 defying his superiors and operating without his infamous “license to kill” when he takes revenge upon a colombian drug kingpin, after the guy maims bond’s best friend/former cia agent and kills his new bride.",133,min
ts105,s105,movie,light it up,,,,2021-10-01,1999,r,"black stories, drama, lgbtq+","the topical story of a group of high school students who form a protest when they become fed up with their school's poor conditions. after a shot is accidentally fired and a police officer is wounded, the resulting stand-off results in a media frenzy that pits the dirt-digging media against the well-intentioned students.",99,min
ts106,s106,movie,lost in space,,,united states,2021-10-01,1998,pg-13,"action, adventure, science fiction","a family of space colonists, their pilot and a diabolical stowaway scientist become hopelessly lost beyond the galaxy when their mission is sabotaged.",130,min
ts107,s107,movie,mad max,,,,2021-10-01,1979,r,"action, adventure, science fiction",a chilling drama that combines a futuristic plot with high speed car and motorcycle action. a strange apocalyptic death game between nomadic bikers and a handful of cops.,93,min
ts108,s108,movie,madhouse,,,,2021-10-01,2004,g,"horror, thriller","when a staff nurse is murdered at a notorious insane asylum, clark stevens, a new psychiatry intern, starts digging for answers and soon realizes that there is something very wrong with the people at the asylum, and it's not just the patients.",91,min
ts109,s109,movie,maze,,,"ireland, united kingdom, germany, sweden",2021-10-01,2017,93 min,"action, adventure, crime","based on the incredible true story of the 1983 mass break-out of 38 ira prisoners from the hmp maze high security prison, one prisoner engineers the largest european prison escape since world war ii.",,
ts110,s110,movie,my best friend's wedding,,,united states,2021-10-01,1997,pg-13,"comedy, romance","when a successful food critic learns that her former boyfriend/best friend is getting married, she stops at nothing to clench her own happiness. stars julia roberts, dermot mulroney and cameron diaz.",105,min
ts111,s111,movie,peeples,,,,2021-10-01,2013,pg-13,"comedy, romance",sparks fly when wade walker (craig robinson) crashes the preppy peeples annual reunion in the hamptons to ask for their precious daughter grace's (kerry washington) hand in marriage,95,min
ts112,s112,movie,queen of the damned,,,,2021-10-01,2002,r,horror,"after a decades-long slumber, the vampire lestat becomes a rock star whose music awakens the queen of all vampires, akasha, who embarks on a mission to make lestat her king.",101,min
ts113,s113,movie,racing with the moon,,,,2021-10-01,1984,pg,"comedy, drama, romance","on the brink of adulthood in small-town northern california, teens henry and nicky try to have a last hurrah before joining the marines, who are off fighting in world war ii. soon the two youngsters find themselves in a grown-up world all too quickly.",108,min
ts114,s114,movie,remo williams: the adventure begins,,,,2021-10-01,1985,pg-13,"action, adventure",a new york city cop is recruited by a super-secret quasi-governmental agency to avenge society's wrongs by being trainded by a korean sinanju master.,121,min
ts115,s115,movie,resident evil: retribution,,,,2021-10-01,2012,r,"action, adventure, horror",alice fights alongside a resistance movement to regain her freedom from an umbrella corporation testing facility.,96,min
ts116,s116,movie,rushmore,,,,2021-10-01,1998,r,"comedy, teen",an overachieving prep-school youth wages war for the affections of a pretty teacher in this wes anderson comedy.,93,min
ts117,s117,movie,scb: calzaghe vs. lacy,,,,2021-10-01,2006,g,sports,super middleweight joe calzaghe vs. jeff lacy. classic fight.,,
ts118,s118,movie,signs,,,,2021-10-01,2002,pg-13,"horror, science fiction, thriller",unexplained crop circles foreshadow frightening events for a farmer (mel gibson) and his family.,107,min
ts119,s119,movie,sleepless in seattle,,,,2021-10-01,1993,pg,"comedy, romance",a man's son calls into a radio show to find his widowed father a new wife.,105,min
